,StudentID,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,At_Risk_Numeracy
703,693464756,4.978082192,0,0,1,0,0,0,0,4,1,89,89,False
704,241489859,5.328767123,1,0,1,0,0,0,0,1,1,114,114,True
705,866260462,4.830136986,0,1,0,0,0,0,0,3,2,101,101,False
706,596509410,5.021917808,1,1,0,0,0,0,0,2,1,116,116,False
707,409802647,5.312328767,0,1,0,0,0,0,0,5,3,88,88,False
708,251806201,5.142465753,1,1,0,0,0,0,0,2,1,113,105,False
709,131974815,4.810958904,0,1,0,0,0,0,0,3,3,120,120,False
710,936478411,4.983561644,0,1,0,0,0,0,0,3,2,95,95,False
711,972421698,5.446575342,1,1,0,0,0,0,0,2,1,94,94,True
712,995416353,5.295890411,1,0,1,0,0,0,0,2,1,94,94,True
713,158263003,4.82739726,0,1,0,0,0,0,0,2,1,93,93,False
714,750684608,5.58630137,1,1,0,0,0,0,0,3,1,120,120,False
715,425313203,4.704109589,1,0,1,0,0,0,0,3,2,104,98,False
716,480846100,5.2,1,1,0,0,0,0,0,2,2,95,93,False
717,392952402,5.128767123,0,1,0,0,0,0,0,2,1,105,105,True
718,272716816,5.342465753,1,1,0,0,0,0,0,4,4,98,98,False
719,140921807,5.15890411,1,1,0,0,0,0,0,2,1,114,114,False
720,290337386,4.983561644,1,0,1,0,0,0,0,2,1,115,115,True
721,773494454,5.567123288,0,1,0,0,0,0,0,2,1,114,114,False
722,420135719,5.463013699,1,0,0,1,0,0,0,3,2,103,99,False
723,159972924,5.093150685,0,1,0,0,0,0,0,3,2,108,108,True
724,882271654,5.62739726,0,0,1,0,0,0,1,3,3,102,102,False
725,551298662,5.364383562,1,1,0,0,0,0,0,3,1,95,95,False
726,394523090,4.679452055,0,1,0,0,0,0,0,3,3,95,95,True
727,352373854,5.64109589,0,1,0,0,0,0,0,3,3,95,95,True
728,591525940,4.794520548,1,1,0,0,0,0,0,2,1,114,114,False
729,660318113,5.22739726,1,1,0,0,0,0,0,2,2,116,116,False
730,409114189,5.583561644,1,1,0,0,0,0,0,2,1,104,104,False
731,567905514,5.142465753,1,1,0,0,0,0,0,2,1,101,101,True
732,525010732,4.876712329,0,1,0,0,0,0,0,2,2,103,103,False
733,213763641,5.410958904,1,1,0,0,0,0,0,1,1,120,120,False
734,301179781,4.64109589,1,0,1,0,0,0,1,2,1,95,95,True
735,303610653,5.495890411,1,1,0,0,0,0,0,2,1,95,95,False
736,175972244,5.331506849,0,0,0,0,0,1,1,1,1,113,105,False
737,177623569,5.84109589,1,1,0,0,0,0,0,3,1,114,114,False
738,228164499,5.073972603,0,1,0,0,0,0,0,1,1,101,101,True
739,819273677,5.123287671,1,1,0,0,0,0,0,2,1,120,120,False
740,678539305,5.005479452,1,1,0,0,0,0,0,1,1,95,95,False
